,Location,Price,Size,Rooms,Bathrooms,link
246,La Calera - La Calera,$1.300.000.000,"185,62m²",3ha.,2ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/valle-alto/la-calera/la-calera/6815252
247,chuntame - Cajicá,$210.000.000,55m²,2ha.,2ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/reserva-de-cajica/chuntame/cajica/5441166
248,chuntame - Cajicá,$233.000.000,"64,5m²",3ha.,2ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/reserva-de-cajica/chuntame/cajica/5441166
249,la Calera - La Calera,$490.553.655,"101,25m²",3ha.,3ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/calera-gardens/la-calera/la-calera/3432109
250,cajicá - Cajicá,$363.100.000,76m²,2ha.,2ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/huertas-oriental-i/cajica/cajica/6514063
251,La Calera Cundinamarca - La Calera,$633.300.000,"105,24m²",3ha.,2ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/reverdecer/la-calera-cundinamarca/la-calera/5641433
252,chuntame - Cajicá,$239.000.000,64m²,3ha.,2ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/reserva-de-cajica/chuntame/cajica/5441166
253,La calera - La Calera,$321.442.755,"66,22m²",2ha.,2ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/calera-gardens/la-calera/la-calera/3432109
254,chuntame - Cajicá,$194.000.000,55m²,3ha.,2ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/reserva-de-cajica/chuntame/cajica/5441166
255,la Calera - La Calera,$494.526.700,"102,07m²",3ha.,3ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/calera-gardens/la-calera/la-calera/3432109
256,ciudad campestre el castillo - Jamundí,$403.400.000,"113,22m²",3ha.,2ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/tulipanes-del-castillo/ciudad-campestre-el-castillo/jamundi/5814689
257,ciudad campestre el castillo - Jamundí,$280.200.000,"84,62m²",2ha.,2ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/tulipanes-del-castillo/ciudad-campestre-el-castillo/jamundi/5814689
258,La calera - La Calera,$434.635.775,"89,92m²",3ha.,3ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/calera-gardens/la-calera/la-calera/3432109
259,la Calera - La Calera,$352.877.756,"72,54m²",3ha.,2ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/calera-gardens/la-calera/la-calera/3432109
260,La calera - La Calera,$1.500.000.000,"224,8m²",3ha.,2ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/valle-alto/la-calera/la-calera/6815252
